# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2023-04-03 01:35:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/rob/.julia/dev/SR2StanPluto/tmp/bernoulli_data_2.json
# init = 2 (Default)
# random
#   seed = 1273692845 (Default)
# output
#   file = /Users/rob/.julia/dev/SR2StanPluto/tmp/bernoulli_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0-112-g06679e7e
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.03357
# Diagonal elements of inverse mass matrix:
# 0.383605
-7.64944,0.946929,1.03357,2,3,0,8.13132,0.35396
-7.68763,0.995858,1.03357,2,3,0,7.6877,0.376962
-7.75552,0.961792,1.03357,2,3,0,7.92283,0.269869
-7.6941,0.918772,1.03357,2,3,0,8.30926,0.379781
-8.48337,0.7083,1.03357,2,3,0,9.45175,0.519544
-7.82042,1,1.03357,1,1,0,8.28486,0.418251
-9.43121,0.745047,1.03357,2,3,0,9.43929,0.123045
-7.6796,0.889297,1.03357,2,3,0,10.8242,0.373209
-7.66396,1,1.03357,1,1,0,7.67973,0.364684
-7.72827,0.981644,1.03357,1,1,0,7.72916,0.392556
-8.41816,0.70512,1.03357,2,3,0,9.47502,0.512107
-7.90671,1,1.03357,2,3,0,8.28719,0.239553
-8.21579,0.936151,1.03357,1,1,0,8.22783,0.200714
-8.54355,0.94029,1.03357,1,1,0,8.5971,0.172548
-7.72174,0.93973,1.03357,1,3,0,8.89739,0.390327
-8.4948,0.836845,1.03357,1,3,0,8.50049,0.520816
-8.93301,0.958284,1.03357,2,3,0,9.12133,0.564115
-8.82659,1,1.03357,1,1,0,9.24116,0.554442
-9.67151,0.777356,1.03357,1,1,0,9.89884,0.621277
-7.68041,1,1.03357,1,3,0,9.18583,0.373604
-8.02227,0.951395,1.03357,2,3,0,8.03475,0.222815
-8.92142,0.934103,1.03357,2,3,0,8.93009,0.563084
-8.54013,0.666449,1.03357,1,3,0,11.0173,0.172801
-8.03922,1,1.03357,2,3,0,8.45111,0.220631
-7.67403,0.856744,1.03357,2,3,0,9.17054,0.37039
-7.81362,0.948646,1.03357,1,3,0,7.95868,0.256495
-9.81742,0.773617,1.03357,2,3,0,10.2101,0.630997
-10.9872,0.725029,1.03357,1,1,0,11.4244,0.696572
-7.83802,1,1.03357,1,3,0,10.1048,0.422358
-7.69633,0.941954,1.03357,2,3,0,8.17893,0.380712
-10.1557,0.621583,1.03357,2,3,0,10.2006,0.0967764
-8.21672,0.966183,1.03357,1,3,0,9.9083,0.200621
-8.07291,1,1.03357,1,1,0,8.25222,0.216454
-7.67309,1,1.03357,2,3,0,7.98458,0.369892
-7.79302,0.908628,1.03357,2,3,0,8.19315,0.260906
-7.6452,0.992565,1.03357,1,3,0,7.82181,0.349594
-7.6575,0.994658,1.03357,1,3,0,7.67771,0.306958
-7.72827,0.772788,1.03357,2,3,0,9.15542,0.277432
-7.64353,1,1.03357,2,3,0,7.71391,0.347515
-7.6407,0.994767,1.03357,2,3,0,7.67392,0.323693
-13.9592,0.342725,1.03357,2,3,0,15.9926,0.805373
-9.6396,0.977451,1.03357,2,7,0,13.41,0.114575
-9.74834,0.995579,1.03357,2,3,0,10.0619,0.110478
-10.5916,0.91178,1.03357,1,1,0,10.7124,0.0844667
-10.3855,1,1.03357,1,1,0,10.93,0.0900215
-9.64806,1,1.03357,1,1,0,10.4368,0.114249
-8.67142,1,1.03357,1,1,0,9.51889,0.163539
-9.37936,0.896524,1.03357,1,1,0,9.42836,0.125292
-8.13498,0.974933,1.03357,1,3,0,9.16529,0.209262
-7.92138,1,1.03357,1,1,0,8.11437,0.237216
-8.1755,0.923446,1.03357,2,3,0,8.71096,0.204872
-7.81872,1,1.03357,1,1,0,8.09733,0.25545
-8.50088,0.811033,1.03357,1,3,0,9.08707,0.521489
-9.60689,0.716253,1.03357,1,1,0,9.72184,0.616832
-9.24753,1,1.03357,1,1,0,9.92053,0.59033
-7.97522,1,1.03357,1,1,0,8.86358,0.449733
-7.75912,0.957304,1.03357,1,3,0,8.25876,0.268946
-10.3953,0.50537,1.03357,1,3,0,11.3226,0.665807
-7.74193,1,1.03357,1,3,0,9.69081,0.396985
-7.90147,0.953593,1.03357,1,1,0,7.9118,0.435882
-7.87041,1,1.03357,1,1,0,7.95446,0.429486
-7.69873,0.977887,1.03357,1,3,0,8.01813,0.287203
-7.69996,0.967898,1.03357,2,3,0,7.93059,0.382195
-7.81026,0.933549,1.03357,2,3,0,8.09582,0.257194
-7.95486,0.967526,1.03357,1,1,0,7.97048,0.232137
-8.01851,0.926514,1.03357,1,3,0,8.65115,0.457177
-8.22132,0.979929,1.03357,2,3,0,8.30215,0.487476
-8.24813,0.991797,1.03357,1,1,0,8.41831,0.491056
-8.2781,0.990832,1.03357,1,1,0,8.45594,0.494966
-7.68838,1,1.03357,1,3,0,8.11166,0.377301
-8.52287,0.819873,1.03357,1,3,0,8.54291,0.523904
-8.51689,0.669565,1.03357,1,3,0,10.451,0.174542
-8.38767,1,1.03357,1,1,0,8.61866,0.18487
-8.99396,0.901213,1.03357,1,1,0,9.0281,0.144091
-7.87768,0.986647,1.03357,1,3,0,8.80482,0.244411
-7.67121,0.980723,1.03357,1,3,0,7.98141,0.368879
-7.71913,0.986255,1.03357,1,1,0,7.72226,0.389413
-8.05987,0.903441,1.03357,1,1,0,8.06018,0.463907
-8.10091,0.83593,1.03357,1,3,0,9.0159,0.213134
-7.99187,1,1.03357,1,1,0,8.13448,0.226885
-9.86699,0.851778,1.03357,2,3,0,10.0389,0.634205
-8.72746,1,1.03357,1,1,0,9.69449,0.544992
-7.6533,0.980081,1.03357,2,3,0,8.87286,0.309955
-7.63914,0.982902,1.03357,2,3,0,7.75745,0.33934
-7.77178,0.828129,1.03357,2,3,0,8.64678,0.265813
-9.19579,0.749744,1.03357,1,3,0,9.35524,0.13375
-7.88844,0.984898,1.03357,1,3,0,8.99595,0.242572
-8.14428,0.899052,1.03357,1,3,0,8.73,0.4767
-8.04383,0.855772,1.03357,1,3,0,9.0181,0.220047
-7.87195,0.964955,1.03357,2,3,0,8.46007,0.24541
-7.65123,0.886937,1.03357,2,3,0,8.81618,0.355554
-7.68401,0.996858,1.03357,2,3,0,7.68441,0.375311
-7.74896,0.981275,1.03357,1,1,0,7.75355,0.399153
-7.64114,0.99774,1.03357,1,3,0,7.75525,0.322902
-7.78917,0.969846,1.03357,2,3,0,7.85277,0.261767
-7.9071,0.973034,1.03357,1,1,0,7.92242,0.239491
-7.66125,0.982396,1.03357,1,3,0,7.99132,0.362973
-9.12784,0.598108,1.03357,2,3,0,10.332,0.580733
-9.12784,0.706496,1.03357,1,1,0,10.2395,0.580733
-8.66105,0.598978,1.03357,2,3,0,12.3474,0.538398
-8.66105,0.805792,1.03357,1,1,0,9.35999,0.538398
-7.92911,1,1.03357,1,1,0,8.45305,0.441271
-7.67433,0.984562,1.03357,1,3,0,8.02386,0.297456
-7.63831,0.873593,1.03357,2,3,0,8.4582,0.335577
-7.7027,0.98476,1.03357,2,3,0,7.73745,0.383287
