# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 0
# model = m7x469s_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m7.9s_data_2.R
# init = 2 (Default)
# random
#   seed = 2924501525 (Default)
# output
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m7.9s_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4
# stanc_version = stanc3 c83c399
# stancflags = --warn-pedantic --O
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b.1,b.2,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20
# Adaptation terminated
# Step size = 0.600789
# Diagonal elements of inverse mass matrix:
# 0.0641349, 0.0737274, 0.0704722, 0.0298993
-12.9896,0.985838,0.600789,3,7,0,13.1956,-0.211539,-0.0734072,-0.106254,0.869692,-0.0964499,-0.182569,-0.190726,-0.138512,-0.25322,-0.270905,-0.259576,-0.354193,-0.154782,0.0228263,-0.118957,-0.267025,-0.375478,-0.147343,-0.202379,-0.373611,0.0301701,-0.282721,-0.323987,-0.143661,-0.837822,-4.18206,-0.788823,-1.20265,-1.13069,-2.1751,-1.32835,-1.1569,-2.0026,-0.837426,-3.70528,-1.17109,-2.31607,-0.832383,-0.822633,-1.59301,-1.59231,-0.824562,-0.909966,-0.949237
-13.0269,1,0.600789,3,7,0,14.0308,-0.12978,0.222404,-0.388475,1.37619,0.0601591,0.0974937,-1.03692,0.137041,-0.0135751,0.395927,-0.0412607,-0.950144,0.29518,0.518716,-0.0182138,0.164148,-1.06708,-0.044998,0.111136,-0.0666541,-0.518866,-0.68278,-0.958936,0.162828,-1.2927,-2.28241,-1.48466,-1.5438,-1.486,-1.40146,-1.36505,-1.245,-2.10344,-1.24876,-2.52138,-1.26854,-1.42149,-1.2469,-1.32388,-1.40828,-1.96401,-1.24332,-1.24783,-1.24887
-11.9922,1,0.600789,3,7,0,13.3274,-0.175451,0.0686652,-0.55648,0.973631,0.214181,0.0883143,-0.974221,0.206851,-0.145766,0.199379,-0.18316,-1.19844,0.322561,0.85961,0.0999195,-0.00738581,-1.34603,0.0223437,0.0640266,-0.418914,-0.0846624,-0.818532,-1.15032,0.221073,-1.08727,-2.99761,-1.32267,-1.58444,-1.2613,-1.40167,-1.25989,-0.896345,-2.67343,-1.0462,-3.73783,-1.02951,-1.05418,-0.899025,-1.03614,-1.59555,-1.68218,-0.931875,-0.969095,-0.902889
-12.0334,0.9542,0.600789,3,7,0,12.8312,-0.239516,0.321933,-0.18763,1.14811,-0.248672,-0.0767017,-1.10741,-0.11072,-0.0659918,0.33904,-0.0813078,-0.766345,0.0607799,-0.0173721,-0.284813,0.119587,-0.839923,-0.264097,-0.0324928,0.0775585,-0.983756,-0.634564,-0.822702,-0.0787653,-1.06506,-2.83159,-1.46463,-1.31713,-1.37552,-1.3267,-1.2609,-1.10184,-1.99906,-1.10005,-2.48169,-1.11276,-1.48346,-1.11777,-1.12585,-1.22143,-2.76652,-1.06015,-1.05817,-1.13119
-12.9445,0.965715,0.600789,2,7,0,13.2074,-0.489071,0.215109,-0.159994,1.24394,-0.468937,-0.364927,-1.11012,-0.379224,-0.373617,-0.0856351,-0.386138,-0.902136,-0.259326,-0.274424,-0.500229,-0.242993,-0.960142,-0.491884,-0.337648,-0.298064,-0.969629,-0.790498,-0.935761,-0.357376,-1.13904,-3.07861,-1.48623,-1.23838,-1.25693,-1.65659,-1.4853,-1.15117,-1.64679,-1.25112,-2.09602,-1.31695,-1.42275,-1.2646,-1.14193,-1.48263,-2.57415,-1.1568,-1.14625,-1.30505
-18.7149,0.770436,0.600789,2,3,0,19.3433,-0.74915,0.833404,0.287439,1.51957,-1.35907,-0.670547,-2.07724,-0.946928,-0.288972,0.372186,-0.277532,-0.749736,-0.62142,-1.65268,-1.29312,0.0435378,-0.742754,-1.11674,-0.505625,0.537395,-3.04936,-0.93525,-0.985661,-0.875293,-1.53907,-2.98298,-2.20906,-1.33738,-1.44145,-1.47943,-1.52436,-1.36546,-1.51031,-2.1794,-1.52452,-1.38304,-1.62744,-1.67717,-1.33785,-1.34589,-5.13616,-1.37046,-1.34757,-1.66957
-18.1791,0.96169,0.600789,2,7,0,19.4452,-0.646977,0.901086,0.119661,1.54417,-1.16152,-0.477233,-2.31001,-0.729508,-0.152139,0.658467,-0.152399,-0.984596,-0.348283,-1.25838,-1.12965,0.243936,-1.02586,-0.969284,-0.311395,0.628927,-3.04165,-1.05499,-1.21743,-0.649316,-1.47697,-2.73137,-2.4048,-1.36261,-1.49793,-1.41094,-1.48902,-1.35672,-1.63892,-1.87536,-1.604,-1.36748,-1.51372,-1.60958,-1.35795,-1.35582,-5.01863,-1.40811,-1.39568,-1.56845
-15.5728,0.98174,0.600789,3,7,0,19.8422,0.257354,0.591441,-0.0262078,1.52472,-0.000954633,0.415222,-0.958667,0.275151,0.580663,1.1652,0.573571,-0.14894,0.541423,0.0563719,-0.00164168,0.860671,-0.202774,0.0869835,0.517234,1.03172,-1.26381,-0.12379,-0.289564,0.329289,-1.37396,-1.94129,-1.51028,-1.65767,-1.86613,-1.34081,-1.34206,-1.53938,-2.25037,-1.35561,-2.40184,-1.36829,-1.96041,-1.34126,-1.54545,-1.35957,-2.58264,-1.37878,-1.39009,-1.341
-13.5151,0.988841,0.600789,3,7,0,17.889,-0.629266,0.0574807,-0.449635,1.02843,-0.315385,-0.41565,-1.27868,-0.320368,-0.604187,-0.323379,-0.634419,-1.45706,-0.225988,0.206211,-0.407692,-0.491446,-1.57647,-0.470059,-0.434924,-0.823313,-0.561095,-1.15007,-1.41866,-0.308695,-0.949884,-3.90603,-1.63664,-1.12774,-1.01455,-2.01852,-1.729,-1.00392,-1.73259,-0.953013,-2.50448,-1.41429,-0.996502,-1.12059,-0.947227,-2.09618,-2.31358,-1.12043,-1.14678,-1.16046
-12.8876,0.981674,0.600789,3,7,0,14.8974,0.197581,-0.0238912,-0.290525,1.17546,0.429097,0.320515,-0.0997563,0.397193,0.180385,0.302861,0.161404,-0.300126,0.431113,0.763325,0.368967,0.224854,-0.372419,0.319094,0.297358,-0.00933549,0.399907,-0.102522,-0.260492,0.399187,-1.32572,-2.20881,-1.0809,-1.72645,-1.56977,-1.36039,-1.16761,-1.31792,-2.45129,-1.15195,-3.51138,-1.10856,-1.92521,-1.09273,-1.28726,-1.28154,-1.27835,-1.15123,-1.174,-1.08106
-14.0017,0.782722,0.600789,2,7,0,16.7077,-0.638836,0.196824,-0.410462,1.3127,-0.420195,-0.408137,-1.52086,-0.3569,-0.536942,-0.141138,-0.565849,-1.48239,-0.206735,0.0625685,-0.503308,-0.366907,-1.60291,-0.537596,-0.400416,-0.623128,-0.950961,-1.20037,-1.48241,-0.333123,-1.19122,-2.99637,-1.80111,-1.28926,-1.24857,-1.69914,-1.62121,-1.23127,-1.68774,-1.21015,-2.04894,-1.4105,-1.21666,-1.32267,-1.19199,-1.72689,-2.45861,-1.31591,-1.33889,-1.33176
-12.1017,1,0.600789,2,3,0,13.9115,-0.402979,0.129729,-0.358961,1.15563,-0.191829,-0.21171,-1.08939,-0.156403,-0.337074,-0.0318934,-0.361969,-1.11488,-0.0438793,0.228421,-0.264852,-0.208086,-1.2169,-0.301489,-0.212393,-0.445886,-0.565984,-0.868764,-1.1046,-0.139463,-1.07888,-3.04058,-1.452,-1.29274,-1.21944,-1.61543,-1.44833,-1.06359,-1.87397,-1.06668,-2.49886,-1.25279,-1.23838,-1.13523,-1.08623,-1.58642,-2.15213,-1.103,-1.10587,-1.15823
-12.2189,0.978056,0.600789,3,7,0,12.9539,0.118036,0.0360066,-0.291397,1.00366,0.322041,0.256168,-0.300335,0.318226,0.133608,0.31439,0.114026,-0.417676,0.378839,0.660017,0.262209,0.206094,-0.494966,0.221595,0.243458,-0.00938413,0.165446,-0.218739,-0.392492,0.325678,-1.17703,-2.58495,-0.948736,-1.70684,-1.54066,-1.29637,-1.06612,-1.16047,-2.70305,-0.980215,-3.98775,-0.966291,-1.9027,-0.926232,-1.16706,-1.19825,-1.39319,-0.975209,-0.992785,-0.923296
