# stan_version_major = 2
# stan_version_minor = 24
# stan_version_patch = 0
# model = m2x460s_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m2.0s_data_2.R
# init = 2 (Default)
# random
#   seed = 333125408 (Default)
# output
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m2.0s_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
# num_threads = 1
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.804425
# Diagonal elements of inverse mass matrix:
# 0.265206
-12.976,0.987442,0.804425,1,3,0,13.1273,0.674531
-14.5607,0.854663,0.804425,2,3,0,14.6104,0.450295
-13.018,1,0.804425,2,3,0,14.278,0.688892
-12.9845,0.983472,0.804425,1,3,0,13.1678,0.621221
-13.1623,0.970512,0.804425,2,3,0,13.2574,0.578568
-12.9865,0.993322,0.804425,2,3,0,13.2252,0.62041
-14.4018,0.801745,0.804425,2,7,0,14.7088,0.460418
-14.1466,0.866783,0.804425,2,3,0,16.289,0.477993
-14.3481,0.995583,0.804425,2,7,0,14.3515,0.809208
-13.785,1,0.804425,1,1,0,14.2851,0.777055
-13.668,1,0.804425,1,1,0,13.852,0.768701
-12.9675,0.957083,0.804425,2,3,0,14.2479,0.629288
-14.1629,0.699799,0.804425,1,3,0,15.2073,0.799785
-12.9579,0.934345,0.804425,1,3,0,14.8402,0.635654
-13.9207,0.762114,0.804425,1,3,0,14.68,0.78587
-14.5477,0.907255,0.804425,2,3,0,15.3746,0.818436
-13.8645,1,0.804425,2,3,0,14.464,0.782321
-13.0332,0.983095,0.804425,1,3,0,13.8805,0.692855
-12.9979,1,0.804425,1,1,0,13.0288,0.682853
-13.011,0.997587,0.804425,1,1,0,13.0168,0.686888
-13.002,1,0.804425,2,3,0,13.0168,0.684162
-13.3969,0.800951,0.804425,2,3,0,15.0082,0.545695
-14.0393,0.871661,0.804425,1,1,0,14.0445,0.485963
-13.3444,1,0.804425,1,1,0,13.8917,0.552126
-12.949,0.989563,0.804425,1,3,0,13.4327,0.649136
-13.7595,0.818048,0.804425,1,3,0,14.245,0.775302
-13.8414,0.987935,0.804425,1,1,0,13.9494,0.780823
-13.4748,1,0.804425,1,1,0,13.7981,0.752839
-13.1909,1,0.804425,1,1,0,13.4276,0.721361
-13.1281,1,0.804425,2,3,0,13.1965,0.711794
-12.9993,0.912621,0.804425,2,3,0,13.9347,0.683316
-14.0581,0.905607,0.804425,2,3,0,14.0666,0.484541
-14.0941,0.992317,0.804425,1,1,0,14.3189,0.481846
-13.904,1,0.804425,1,1,0,14.2067,0.496615
-13.8996,1,0.804425,2,7,0,13.9321,0.784549
-13.679,0.811141,0.804425,1,3,0,16.5805,0.5162
-12.9679,1,0.804425,2,3,0,13.6838,0.629044
-13.0182,0.976549,0.804425,1,3,0,13.135,0.688935
-14.3769,0.849864,0.804425,2,3,0,14.4958,0.810597
-13.0087,0.916285,0.804425,1,3,0,15.537,0.612567
-12.9818,1,0.804425,1,1,0,13.0048,0.622349
-12.9492,0.999246,0.804425,1,3,0,12.9861,0.647377
-12.9492,1,0.804425,1,1,0,12.9492,0.647731
-13.0745,0.969848,0.804425,1,3,0,13.1478,0.702036
-13.0125,1,0.804425,1,1,0,13.0643,0.687336
-12.9497,1,0.804425,2,3,0,13.0012,0.645943
-12.9608,0.983399,0.804425,2,3,0,13.0766,0.633442
-14.3898,0.829195,0.804425,2,3,0,14.392,0.811211
-14.2336,1,0.804425,1,1,0,14.5191,0.803489
-13.0041,0.968837,0.804425,1,3,0,14.3991,0.684837
-14.2425,0.732872,0.804425,1,3,0,15.2383,0.471175
-13.4456,1,0.804425,1,1,0,14.0747,0.540056
-12.9509,0.980414,0.804425,1,3,0,13.6118,0.656605
-13.4723,0.943831,0.804425,2,3,0,13.4993,0.537087
-13.7829,0.935698,0.804425,1,1,0,13.828,0.506826
-13.2654,1,0.804425,1,1,0,13.6741,0.562656
-13.7705,0.89812,0.804425,1,1,0,13.7721,0.507916
-13.3315,0.939972,0.804425,2,3,0,14.4309,0.553779
-13.0877,1,0.804425,2,3,0,13.2806,0.59261
-13.385,0.848712,0.804425,1,3,0,14.2088,0.744271
-14.6381,0.866752,0.804425,2,3,0,15.059,0.822345
-14.9168,0.966453,0.804425,1,1,0,15.0799,0.833496
-14.2367,1,0.804425,1,1,0,14.8667,0.803649
-13.1926,0.995186,0.804425,2,7,0,14.107,0.573566
-13.4342,0.824324,0.804425,2,7,0,14.5805,0.749082
-13.7251,0.955358,0.804425,1,1,0,13.7437,0.772874
-12.958,0.978277,0.804425,1,3,0,13.8935,0.664295
-13.0775,0.92188,0.804425,2,3,0,13.5657,0.702635
-13.2629,0.967753,0.804425,2,3,0,13.4335,0.730781
-13.2026,1,0.804425,2,3,0,13.2815,0.722996
-13.1517,1,0.804425,1,1,0,13.2166,0.715569
-13.1612,0.920241,0.804425,2,7,0,13.8399,0.57875
-12.9725,1,0.804425,2,7,0,13.125,0.672914
-13.0663,0.964948,0.804425,2,3,0,13.282,0.5973
-13.0989,0.997757,0.804425,2,3,0,13.1146,0.590298
-13.0392,0.955699,0.804425,1,3,0,13.458,0.694317
-13.1364,0.982687,0.804425,1,1,0,13.1373,0.713144
-13.1407,0.940897,0.804425,1,3,0,13.763,0.582351
-12.9943,0.966149,0.804425,1,3,0,13.403,0.681626
-14.5713,0.730058,0.804425,1,3,0,15.1897,0.819473
-12.952,1,0.804425,2,3,0,14.3105,0.658288
-12.9533,0.998513,0.804425,1,3,0,12.9649,0.639985
-12.9707,0.993721,0.804425,1,3,0,13.0024,0.672037
-13.429,0.885464,0.804425,1,3,0,13.8146,0.541947
-13.7001,0.725232,0.804425,1,3,0,15.7481,0.771072
-12.9965,0.950153,0.804425,1,3,0,14.3505,0.616679
-13.0307,0.993045,0.804425,1,1,0,13.0335,0.60613
-13.0196,1,0.804425,2,7,0,13.0283,0.689324
-13.4571,0.94562,0.804425,2,3,0,13.5766,0.751224
-13.1324,0.994112,0.804425,2,7,0,13.4551,0.583861
-13.1714,0.907777,0.804425,1,3,0,13.8454,0.718549
-12.956,0.98325,0.804425,1,3,0,13.3167,0.637284
-14.2795,0.841938,0.804425,2,3,0,14.2841,0.805824
-14.3212,0.994433,0.804425,1,1,0,14.5147,0.807898
-12.9492,1,0.804425,2,3,0,14.0932,0.65241
-12.9545,0.994889,0.804425,2,3,0,12.9875,0.661204
-13.2536,0.963719,0.804425,2,3,0,13.2817,0.729635
-13.2936,0.993294,0.804425,1,1,0,13.3359,0.734413
-13.1019,1,0.804425,1,1,0,13.2605,0.707262
-13.2829,0.966806,0.804425,2,3,0,13.4786,0.733169
-13.0243,0.950889,0.804425,1,3,0,13.7526,0.607915
-13.8364,0.902548,0.804425,2,7,0,13.8455,0.780497
-14.1125,0.748074,0.804425,2,7,0,17.3599,0.480483
-13.5408,1,0.804425,1,1,0,14.0155,0.52977
-14.608,0.795667,0.804425,1,1,0,14.6089,0.447384
-14.608,0.729975,0.804425,1,1,0,15.8832,0.447384
-14.0253,1,0.804425,1,1,0,14.5869,0.487032
-14.0253,0.883763,0.804425,1,1,0,14.5842,0.487032
-12.9957,0.923082,0.804425,1,3,0,14.68,0.682128
-15.0478,0.652373,0.804425,1,3,0,15.9585,0.838329
-14.857,1,0.804425,1,1,0,15.2401,0.831207
-12.9623,0.943331,0.804425,1,3,0,15.4709,0.667292
-14.1607,0.798548,0.804425,2,3,0,14.7029,0.799667
-14.2151,0.992589,0.804425,1,1,0,14.3882,0.802535
-13.5477,1,0.804425,1,1,0,14.1153,0.759185
-14.1493,0.913613,0.804425,1,1,0,14.1509,0.799055
-13.4817,0.97683,0.804425,2,3,0,14.5623,0.753464
-13.0732,0.998124,0.804425,2,7,0,13.4348,0.595743
-13.0732,0.756842,0.804425,1,3,0,14.7421,0.595743
-13.0261,0.960643,0.804425,2,7,0,13.3767,0.691062
-12.9964,0.932534,0.804425,2,3,0,13.6149,0.682348
